12500,11,11A,2024-11-20,87,90,85,78,92,84,88,91,80,83,A
23750,9,9A,2024-11-20,72,65,88,77,89,84,78,85,87,81,B
16250,11,11A,2024-11-20,85,79,80,88,90,86,92,84,87,90,A
25153,12,12A,2024-11-20,92,88,91,87,85,90,89,93,82,86,A
23753,12,12A,2024-11-20,87,85,84,83,86,88,92,90,89,91,A
15004,7,7A,2024-11-20,60,62,65,70,75,80,78,85,77,79,C
13754,8,8A,2024-11-20,70,74,78,82,79,77,80,73,76,75,B
25001,12,12A,2024-11-20,89,87,90,85,88,82,91,92,86,88,A
23754,12,12A,2024-11-20,83,85,88,86,84,87,89,90,82,85,A
1401,8,8A,2024-11-20,75,80,78,82,77,79,76,74,81,78,B
1372,10,10A,2024-11-20,82,77,84,88,81,79,85,86,83,87,A
1293,7,7A,2024-11-20,62,65,70,75,80,77,78,72,73,76,C
1567,10,10A,2024-11-20,77,85,82,79,80,78,75,81,83,86,B
32024,8,8A,2024-11-20,65,70,75,80,77,79,82,76,78,81,C
34158,7,7A,2024-11-20,60,62,65,68,70,75,77,80,78,74,C
32068,7,7A,2024-11-20,63,66,69,72,75,77,79,81,74,76,C
8044,9,9A,2024-11-20,80,82,77,84,86,79,81,85,78,83,B
4038,12,12A,2024-11-20,90,88,85,87,89,92,91,93,88,90,A
5423,10,10A,2024-11-20,78,80,77,82,85,79,81,86,80,84,B
1878,8,8A,2024-11-20,72,74,77,80,75,78,76,73,70,75,B
1831,Wong Soeung,9,9B,2024-11-20,80,82,77,84,86,79,81,85,78,83,B
1320,Yu Xin,7,7B,2024-11-20,62,65,70,75,80,77,78,72,73,76,C
32486,Michael Gonzalez,6,6A,2024-11-20,87,90,85,78,92,84,88,91,80,83,A
1678,Nguyen Thi Thanh,10,10B,2024-11-20,72,65,88,77,89,84,78,85,87,81,B
1001,Nguyen Van An,9,9B,2024-11-20,85,79,80,88,90,86,92,84,87,90,A
1133,Nguyen Phuong,9,9B,2024-11-20,92,88,91,87,85,90,89,93,82,86,A
1154,Yamamoto Haruto,10,10A,2024-11-20,87,85,84,83,86,88,92,90,89,91,A
13753,Emi Nishimura,7,7A,2024-11-20,60,62,65,70,75,80,78,85,77,79,C
1176,Park Hyun,10,10A,2024-11-20,70,74,78,82,79,77,80,73,76,75,B
33234,Mia Lopez,10,10A,2024-11-20,89,87,90,85,88,82,91,92,86,88,A
1199,Chanthou Mealea,12,12A,2024-11-20,83,85,88,86,84,87,89,90,82,85,A
1218,Zhang Li,8,8A,2024-11-20,75,80,78,82,77,79,76,74,81,78,B
1278,Lee Eun-Ji,8,8A,2024-11-20,82,77,84,88,81,79,85,86,83,87,A
1035,Kim Min-Ji,8,8A,2024-11-20,62,65,70,75,80,77,78,72,73,76,C
2630,Kang Sun-Hee,8,8A,2024-11-20,77,85,82,79,80,78,75,81,83,86,B
2586,Yamamoto Hana,9,9A,2024-11-20,87,90,85,78,92,84,88,91,80,83,A
8352,Nguyen Thi Hoa,9,9A,2024-11-20,72,65,88,77,89,84,78,85,87,81,B
8374,Kim Hye-Jin,8,8A,2024-11-20,85,79,80,88,90,86,92,84,87,90,A
8396,Wong Cheng,7,7A,2024-11-20,92,88,91,87,85,90,89,93,82,86,A
8308,Jeong Sang-Hoon,9,9A,2024-11-20,87,85,84,83,86,88,92,90,89,91,A
32266,Emma Thompson,10,10B,2024-11-20,70,74,78,82,79,77,80,73,76,75,B
32794,Alexander Perez,10,10B,2024-11-20,83,85,88,86,84,87,89,90,82,85,A
32838,Liam Thompson,8,8A,2024-11-20,75,80,78,82,77,79,76,74,81,78,B
30726,Scarlett Gonzalez,9,9A,2024-11-20,82,77,84,88,81,79,85,86,83,87,A
30748,Jack Collins,8,8B,2024-11-20,62,65,70,75,80,77,78,72,73,76,C
8330,Chan Sreyka,8,8A,2024-11-20,77,85,82,79,80,78,75,81,83,86,B
1678,Yu Xin,8,8B,2024-11-20,87,85,84,83,86,88,92,90,89,91,A
30770,Victoria Wilson,10,10B,2024-11-20,75,80,78,82,77,79,76,74,81,78,B
30682,Madison Baker,10,10B,2024-11-20,82,77,84,88,81,79,85,86,83,87,A
30704,Lucas Carter,8,8A,2024-11-20,62,65,70,75,80,77,78,72,73,76,C
